name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
,,,236,0,64,95,,236.5,-0.2578125
,,,237,0,64,32,,237.5,-0.75
,,,244,0,95,32,,244.7421875,-0.75
,,,259,0,64,32,,259.5,-0.75
,,,264,0,95,95,,264.7421875,-0.2578125
,,,272,0,64,64,,272.5,-0.5
,,,273,0,95,32,,273.7421875,-0.75
,,,277,0,64,95,,277.5,-0.2578125
,,,286,0,64,95,,286.5,-0.2578125
,,,288,0,64,64,,288.5,-0.5
,,,296,0,32,64,,296.25,-0.5
,,,301,0,64,32,,301.5,-0.75
,,,307,0,32,64,,307.25,-0.5
,,,307,0,32,95,,307.25,-0.2578125
,,,313,0,64,32,,313.5,-0.75
,,,322,0,32,64,,322.25,-0.5
,,,327,0,32,32,,327.25,-0.75
,,,331,0,95,95,,331.7421875,-0.2578125
,,,333,0,32,64,,333.25,-0.5
,,,336,0,95,32,,336.7421875,-0.75
,,,339,0,95,64,,339.7421875,-0.5
,,,339,0,32,64,,339.25,-0.5
,,,340,0,64,64,,340.5,-0.5
,,,340,0,95,32,,340.7421875,-0.75
,,,341,0,95,64,,341.7421875,-0.5
,,,341,0,32,95,,341.25,-0.2578125
,,,341,0,95,32,,341.7421875,-0.75
,,,342,0,32,64,,342.25,-0.5
,,,344,0,95,32,,344.7421875,-0.75
,,,369,0,95,95,,369.7421875,-0.2578125
,,,377,0,32,32,,377.25,-0.75
,,,380,0,64,64,,380.5,-0.5
,,,383,0,95,95,,383.7421875,-0.2578125
,,,384,0,64,95,,384.5,-0.2578125
,,,398,0,95,64,,398.7421875,-0.5
,,,414,0,95,32,,414.7421875,-0.75
,,,415,0,64,32,,415.5,-0.75
,,,421,0,64,95,,421.5,-0.2578125
,,,433,0,64,64,,433.5,-0.5
,,,438,0,32,32,,438.25,-0.75
,,,457,0,95,95,,457.7421875,-0.2578125
,,,470,0,95,32,,470.7421875,-0.75
,,,476,0,95,64,,476.7421875,-0.5
,,,477,0,95,64,,477.7421875,-0.5
,,,480,0,32,95,,480.25,-0.2578125
,,,481,0,32,64,,481.25,-0.5
,,,489,0,32,32,,489.25,-0.75
,,,503,0,64,64,,503.5,-0.5
,,,511,0,32,95,,511.25,-0.2578125
,,,514,0,64,64,,514.5,-0.5
,,,515,0,32,64,,515.25,-0.5
,,,519,0,95,64,,519.7421875,-0.5
,,,521,0,32,64,,521.25,-0.5
,,,521,0,95,95,,521.7421875,-0.2578125
,,,546,0,32,95,,546.25,-0.2578125
,,,550,0,64,32,,550.5,-0.75
,,,551,0,95,95,,551.7421875,-0.2578125
,,,555,0,95,32,,555.7421875,-0.75
,,,577,0,95,64,,577.7421875,-0.5
,,,578,0,64,32,,578.5,-0.75
,,,580,0,95,32,,580.7421875,-0.75
,,,582,0,64,95,,582.5,-0.2578125
,,,583,0,95,64,,583.7421875,-0.5
,,,595,0,64,32,,595.5,-0.75
,,,602,0,32,64,,602.25,-0.5
,,,624,0,95,64,,624.7421875,-0.5
,,,625,0,95,64,,625.7421875,-0.5
,,,655,0,32,95,,655.25,-0.2578125
