name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_Ruins,0,WOD_Ruins_04,402,117,68,107,40264117107,402.5,-117.1640625
WOD_BanditFort,0,WOD_BanditFort_01,408,117,21,107,40821117107,408.1640625,-117.1640625
WOD_FarmA,0,WOD_Farmaa04,421,117,21,107,42121117107,421.1640625,-117.1640625
WOD_BanditFort,0,WOD_BanditFort_01,395,118,21,64,3952111864,395.1640625,-118.5
WOD_GuardTower,0,WOD_Guardtower_01,396,118,64,59,3966411864,396.5,-118.5
WOD_GuardTower,0,WOD_Guardtower_01,401,118,107,60,40110711864,401.8359375,-118.5
WOD_FarmA,0,WOD_Farmaa04,402,118,107,54,40210711864,402.8359375,-118.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_02,403,118,64,62,4036411864,403.5,-118.5
WOD_BanditCamp,0,WOD_BanditCamp_03,403,118,21,57,4032111864,403.1640625,-118.5
WOD_FarmA,0,WOD_Farmaa03,403,118,107,21,40310711821,403.8359375,-118.8359375
WOD_Ruins,0,WOD_Ruins_04,405,118,107,107,405107118107,405.8359375,-118.1640625
WOD_GuardTower,0,WOD_Guardtower_01,407,118,107,68,40710711864,407.8359375,-118.5
WOD_FarmA,0,WOD_Farmaa00,409,118,21,107,40921118107,409.1640625,-118.1640625
WOD_Ruins,0,WOD_Ruins_04,411,118,64,107,41164118107,411.5,-118.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,412,118,62,107,41264118107,412.5,-118.1640625
WOD_Ruins,0,WOD_Ruins_05,414,118,21,64,4142111864,414.1640625,-118.5
WOD_FarmA,0,WOD_Farmaa03,424,118,64,21,4246411821,424.5,-118.8359375
WOD_FarmA,0,WOD_Farmaa04,428,118,21,21,4282111821,428.1640625,-118.8359375
WOD_BanditCamp,0,WOD_BanditCamp_06,432,118,21,107,43221118107,432.1640625,-118.1640625
WOD_FarmA,0,WOD_Farmaa03,388,119,64,107,38864119107,388.5,-119.1640625
WOD_Ruins,0,WOD_Ruins_05,390,119,107,107,390107119107,390.8359375,-119.1640625
WOD_GuardTower,0,WOD_Guardtower_01,395,119,21,25,3952111921,395.1640625,-119.8359375
WOD_Ruins,0,WOD_Ruins_05,395,119,64,21,3956411921,395.5,-119.8359375
WOD_FarmA,0,WOD_Farmaa03,395,119,64,107,39564119107,395.5,-119.1640625
WOD_Ruins,0,WOD_Ruins_02,395,119,107,21,39510711921,395.8359375,-119.8359375
WOD_Ruins,0,WOD_Ruins_05,400,119,107,59,40010711964,400.8359375,-119.5
WOD_Ruins,0,WOD_Ruins_01,401,119,21,107,40121119107,401.1640625,-119.1640625
WOD_Ruins,0,WOD_Ruins_03,407,119,107,107,407107119107,407.8359375,-119.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,413,119,107,64,41310711964,413.8359375,-119.5
WOD_FarmA,0,WOD_Farmaa04,416,119,64,49,4166411964,416.5,-119.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_01,417,119,64,62,4176411964,417.5,-119.5
WOD_BanditCamp,0,WOD_BanditCamp_05,417,119,21,70,4172111964,417.1640625,-119.5
WOD_Ruins,0,WOD_Ruins_04,418,119,107,21,41810711921,418.8359375,-119.8359375
WOD_FarmA,0,WOD_Farmaa01,419,119,107,54,41910711964,419.8359375,-119.5
WOD_FarmA,0,WOD_Farmaa03,419,119,21,21,4192111921,419.1640625,-119.8359375
WOD_FarmA,0,WOD_Farmaa02,420,119,21,54,4202111964,420.1640625,-119.5
WOD_BanditCamp,0,WOD_BanditCamp_03,420,119,21,21,4202111921,420.1640625,-119.8359375
WOD_FarmA,0,WOD_Farmaa00,421,119,64,21,4216411921,421.5,-119.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_01,422,119,107,66,42210711964,422.8359375,-119.5
WOD_FarmA,0,WOD_Farmaa04,424,119,21,54,4242111964,424.1640625,-119.5
WOD_BanditFort,0,WOD_BanditFort_01,364,120,107,64,36410712064,364.8359375,-120.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_07,375,120,21,21,3752112021,375.1640625,-120.8359375
WOD_Ruins,0,WOD_Ruins_03,375,120,107,64,37510712064,375.8359375,-120.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_01,377,120,62,107,37764120107,377.5,-120.1640625
WOD_Ruins,0,WOD_Ruins_06,379,120,64,107,37964120107,379.5,-120.1640625
WOD_GuardTower,0,WOD_Guardtower_01,382,120,67,21,3826412021,382.5,-120.8359375
WOD_Ruins,0,WOD_Ruins_02,385,120,21,64,3852112064,385.1640625,-120.5
WOD_BanditCamp,0,WOD_BanditCamp_08,388,120,64,21,3886412021,388.5,-120.8359375
WOD_Ruins,0,WOD_Ruins_03,389,120,64,21,3896412021,389.5,-120.8359375
WOD_FarmA,0,WOD_Farmaa03,390,120,107,107,390107120107,390.8359375,-120.1640625
WOD_Ruins,0,WOD_Ruins_03,391,120,107,70,39110712064,391.8359375,-120.5
WOD_BanditFort,0,WOD_BanditFort_01,391,120,21,28,3912112021,391.1640625,-120.8359375
WOD_FarmA,0,WOD_Farmaa02,391,120,64,21,3916412021,391.5,-120.8359375
WOD_Ruins,0,WOD_Ruins_02,392,120,21,60,3922112064,392.1640625,-120.5
WOD_BanditCamp,0,WOD_BanditCamp_02,393,120,21,64,3932112064,393.1640625,-120.5
WOD_GuardTower,0,WOD_Guardtower_01,409,120,61,21,4096412021,409.5,-120.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_02,409,120,21,21,4092112021,409.1640625,-120.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_06,411,120,66,64,4116412064,411.5,-120.5
WOD_FarmA,0,WOD_Farmaa03,413,120,64,21,4136412021,413.5,-120.8359375
WOD_Ruins,0,WOD_Ruins_01,413,120,107,21,41310712021,413.8359375,-120.8359375
WOD_FarmA,0,WOD_Farmaa01,422,120,74,107,42264120107,422.5,-120.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,423,120,107,107,423107120107,423.8359375,-120.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_01,427,120,64,62,4276412064,427.5,-120.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,360,121,21,21,3602112121,360.1640625,-121.8359375
WOD_GuardTower,0,WOD_Guardtower_01,363,121,64,69,3636412164,363.5,-121.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_06,364,121,21,107,36421121107,364.1640625,-121.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_07,365,121,21,62,3652112164,365.1640625,-121.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_05,370,121,107,21,37010712121,370.8359375,-121.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_04,371,121,21,62,3712112164,371.1640625,-121.5
WOD_BanditCamp,0,WOD_BanditCamp_07,371,121,21,21,3712112121,371.1640625,-121.8359375
