name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_BanditFort,0,WOD_BanditFort_01,465,413,107,107,465107413107,465.8359375,-413.1640625
WOD_FarmB,0,WOD_Farmba00,468,413,21,107,46821413107,468.1640625,-413.1640625
WOD_BanditFort,0,WOD_BanditFort_01,468,414,107,21,46810741421,468.8359375,-414.8359375
WOD_FarmB,0,WOD_Farmba00,468,414,107,107,468107414107,468.8359375,-414.1640625
WOD_Ruins,0,WOD_Ruins_03,459,415,21,21,4592141521,459.1640625,-415.8359375
WOD_Ruins,0,WOD_Ruins_01,462,415,21,64,4622141564,462.1640625,-415.5
WOD_Ruins,0,WOD_Ruins_01,461,416,56,64,4616441664,461.5,-416.5
WOD_BanditCamp,0,WOD_BanditCamp_09,462,416,107,64,46210741664,462.8359375,-416.5
WOD_BanditCamp,0,WOD_BanditCamp_06,474,416,21,21,4742141621,474.1640625,-416.8359375
WOD_Ruins,0,WOD_Ruins_04,447,417,64,107,44764417107,447.5,-417.1640625
WOD_BanditFort,0,WOD_BanditFort_01,455,417,21,107,45521417107,455.1640625,-417.1640625
WOD_Ruins,0,WOD_Ruins_05,460,417,107,114,460107417107,460.8359375,-417.1640625
WOD_FarmB,0,WOD_Farmba00,445,418,21,21,4452141821,445.1640625,-418.8359375
WOD_FarmB,0,WOD_Farmba02,451,418,21,64,4512141864,451.1640625,-418.5
WOD_Ruins,0,WOD_Ruins_04,476,418,107,21,47610741821,476.8359375,-418.8359375
WOD_GuardTower,0,WOD_Guardtower_01,444,419,21,111,44421419107,444.1640625,-419.1640625
WOD_Ruins,0,WOD_Ruins_02,454,419,21,64,4542141964,454.1640625,-419.5
WOD_BanditCamp,0,WOD_BanditCamp_03,459,419,21,107,45921419107,459.1640625,-419.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,461,419,21,64,4612141964,461.1640625,-419.5
WOD_BanditFort,0,WOD_BanditFort_01,466,419,64,107,46664419107,466.5,-419.1640625
WOD_FarmB,0,WOD_Farmba02,467,419,64,21,4676441921,467.5,-419.8359375
WOD_Ruins,0,WOD_Ruins_05,469,419,64,21,4696441921,469.5,-419.8359375
WOD_FarmB,0,WOD_Farmba01,424,420,107,64,42410742064,424.8359375,-420.5
WOD_BanditCamp,0,WOD_BanditCamp_05,429,420,72,64,4296442064,429.5,-420.5
WOD_Ruins,0,WOD_Ruins_01,441,420,21,21,4412142021,441.1640625,-420.8359375
WOD_FarmB,0,WOD_Farmba03,447,420,21,107,44721420107,447.1640625,-420.1640625
WOD_FarmB,0,WOD_Farmba04,458,420,107,64,45810742064,458.8359375,-420.5
WOD_BanditFort,0,WOD_BanditFort_01,464,420,64,107,46464420107,464.5,-420.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,466,420,21,64,4662142064,466.1640625,-420.5
WOD_BanditCamp,0,WOD_BanditCamp_05,419,421,56,64,4196442164,419.5,-421.5
WOD_Ruins,0,WOD_Ruins_03,430,421,56,64,4306442164,430.5,-421.5
WOD_BanditCamp,0,WOD_BanditCamp_08,441,421,21,64,4412142164,441.1640625,-421.5
WOD_Ruins,0,WOD_Ruins_06,456,421,21,64,4562142164,456.1640625,-421.5
WOD_BanditCamp,0,WOD_BanditCamp_02,463,421,21,64,4632142164,463.1640625,-421.5
WOD_BanditCamp,0,WOD_BanditCamp_04,466,421,21,107,46621421107,466.1640625,-421.1640625
