name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_BanditFort,0,WOD_BanditFort_01,116,253,64,68,1166425364,116.5,-253.5
WOD_Ruins,0,WOD_Ruins_01,120,253,107,60,12010725364,120.8359375,-253.5
WOD_FarmA,0,WOD_Farmaa01,122,253,21,54,1222125364,122.1640625,-253.5
WOD_FarmA,0,WOD_Farmaa04,122,253,64,21,1226425321,122.5,-253.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,122,253,107,30,12210725321,122.8359375,-253.8359375
WOD_Ruins,0,WOD_Ruins_06,114,254,58,21,1146425421,114.5,-254.8359375
WOD_Ruins,0,WOD_Ruins_04,123,254,107,68,12310725464,123.8359375,-254.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_01,124,254,107,62,12410725464,124.8359375,-254.5
WOD_Ruins,0,WOD_Ruins_01,125,254,21,21,1252125421,125.1640625,-254.8359375
WOD_FarmA,0,WOD_Farmaa00,127,254,21,21,1272125421,127.1640625,-254.8359375
WOD_FarmA,0,WOD_Farmaa03,131,255,21,21,1312125521,131.1640625,-255.8359375
WOD_FarmA,0,WOD_Farmaa00,132,255,21,64,1322125564,132.1640625,-255.5
WOD_BanditCamp,0,WOD_BanditCamp_03,132,255,64,107,13264255107,132.5,-255.1640625
WOD_FarmA,0,WOD_Farmaa03,112,257,107,118,112107257107,112.8359375,-257.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,122,257,107,21,12210725721,122.8359375,-257.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_03,127,257,64,107,12764257107,127.5,-257.1640625
WOD_FarmA,0,WOD_Farmaa01,128,258,21,107,12821258107,128.1640625,-258.1640625
WOD_GuardTower,0,WOD_Guardtower_01,117,259,67,107,11764259107,117.5,-259.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_02,117,259,107,24,11710725921,117.8359375,-259.8359375
WOD_FarmA,0,WOD_Farmaa04,128,259,21,64,1282125964,128.1640625,-259.5
WOD_BanditCamp,0,WOD_BanditCamp_03,129,259,21,57,1292125964,129.1640625,-259.5
WOD_BanditFort,0,WOD_BanditFort_01,129,259,107,59,12910725964,129.8359375,-259.5
WOD_Shrine,0,WOD_Shrine_Dibella_01,130,259,21,60,1302125964,130.1640625,-259.5
WOD_BanditCamp,0,WOD_BanditCamp_05,124,260,21,28,1242126021,124.1640625,-260.8359375
WOD_Ruins,0,WOD_Ruins_04,126,260,107,21,12610726021,126.8359375,-260.8359375
WOD_FarmA,0,WOD_Farmaa04,127,260,79,64,1276426064,127.5,-260.5
WOD_BanditCamp,0,WOD_BanditCamp_06,117,261,21,107,11721261107,117.1640625,-261.1640625
WOD_BanditCamp,0,WOD_BanditCamp_03,117,261,107,21,11710726121,117.8359375,-261.8359375
WOD_BanditCamp,0,WOD_BanditCamp_09,117,261,107,64,11710726164,117.8359375,-261.5
WOD_BanditCamp,0,WOD_BanditCamp_03,123,261,71,21,1236426121,123.5,-261.8359375
WOD_Ruins,0,WOD_Ruins_05,123,261,21,64,1232126164,123.1640625,-261.5
WOD_FarmA,0,WOD_Farmaa02,127,261,21,107,12721261107,127.1640625,-261.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,123,262,58,21,1236426221,123.5,-262.8359375
WOD_FarmA,0,WOD_Farmaa02,129,262,107,64,12910726264,129.8359375,-262.5
WOD_Ruins,0,WOD_Ruins_01,110,263,107,64,11010726364,110.8359375,-263.5
WOD_BanditCamp,0,WOD_BanditCamp_01,123,263,60,64,1236426364,123.5,-263.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_05,123,263,62,107,12364263107,123.5,-263.1640625
WOD_Ruins,0,WOD_Ruins_02,110,264,21,107,11021264107,110.1640625,-264.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,118,264,21,107,11821264107,118.1640625,-264.1640625
WOD_Ruins,0,WOD_Ruins_06,119,264,21,107,11921264107,119.1640625,-264.1640625
WOD_BanditFort,0,WOD_BanditFort_01,122,264,21,64,1222126464,122.1640625,-264.5
WOD_FarmA,0,WOD_Farmaa02,117,265,107,64,11710726564,117.8359375,-265.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_03,121,266,64,68,1216426664,121.5,-266.5
WOD_FarmA,0,WOD_Farmaa01,111,267,107,64,11110726764,111.8359375,-267.5
WOD_GuardTower,0,WOD_Guardtower_01,116,267,64,59,1166426764,116.5,-267.5
WOD_BanditCamp,0,WOD_BanditCamp_08,119,267,64,21,1196426721,119.5,-267.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,119,267,107,21,11910726721,119.8359375,-267.8359375
WOD_Ruins,0,WOD_Ruins_01,121,268,21,64,1212126864,121.1640625,-268.5
