name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_FarmA,0,WOD_Farmaa04,231,131,107,21,23110713121,231.8359375,-131.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,257,131,21,107,25721131107,257.1640625,-131.1640625
WOD_Ruins,0,WOD_Ruins_05,257,131,64,21,2576413121,257.5,-131.8359375
WOD_BanditFort,0,WOD_BanditFort_01,262,131,64,21,2626413121,262.5,-131.8359375
WOD_BanditFort,0,WOD_BanditFort_01,263,131,21,64,2632113164,263.1640625,-131.5
WOD_Ruins,0,WOD_Ruins_03,263,131,64,21,2636413121,263.5,-131.8359375
WOD_OrcCamp,0,WOD_OrcCamp_Small_01,230,132,64,21,2306413221,230.5,-132.8359375
WOD_Ruins,0,WOD_Ruins_01,237,132,107,21,23710713221,237.8359375,-132.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,237,132,107,107,237107132107,237.8359375,-132.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_08,240,132,21,107,24021132107,240.1640625,-132.1640625
WOD_Ruins,0,WOD_Ruins_04,242,132,21,60,2422113264,242.1640625,-132.5
WOD_Ruins,0,WOD_Ruins_03,242,132,64,107,24264132107,242.5,-132.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,255,132,69,21,2556413221,255.5,-132.8359375
WOD_BanditCamp,0,WOD_BanditCamp_09,255,132,21,21,2552113221,255.1640625,-132.8359375
WOD_Ruins,0,WOD_Ruins_05,228,133,107,107,228107133107,228.8359375,-133.1640625
WOD_Ruins,0,WOD_Ruins_05,234,133,21,28,2342113321,234.1640625,-133.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,243,133,21,21,2432113321,243.1640625,-133.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,244,133,64,107,24464133107,244.5,-133.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,246,133,64,21,2466413321,246.5,-133.8359375
WOD_Ruins,0,WOD_Ruins_05,258,133,21,64,2582113364,258.1640625,-133.5
WOD_BanditFort,0,WOD_BanditFort_01,258,133,64,21,2586413321,258.5,-133.8359375
WOD_GuardTower,0,WOD_Guardtower_01,271,133,67,107,27164133107,271.5,-133.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,229,134,107,27,22910713421,229.8359375,-134.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_01,235,134,21,107,23521134107,235.1640625,-134.1640625
WOD_FarmA,0,WOD_Farmaa03,236,134,64,21,2366413421,236.5,-134.8359375
WOD_BanditFort,0,WOD_BanditFort_01,239,134,21,107,23921134107,239.1640625,-134.1640625
WOD_FarmA,0,WOD_Farmaa02,241,134,21,21,2412113421,241.1640625,-134.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,241,134,21,107,24121134107,241.1640625,-134.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,243,134,70,64,2436413464,243.5,-134.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_07,243,134,62,21,2436413421,243.5,-134.8359375
WOD_FarmA,0,WOD_Farmaa02,243,134,107,107,243107134107,243.8359375,-134.1640625
WOD_Ruins,0,WOD_Ruins_01,246,134,64,107,24664134107,246.5,-134.1640625
WOD_Ruins,0,WOD_Ruins_03,247,134,107,107,247107134107,247.8359375,-134.1640625
WOD_FarmA,0,WOD_Farmaa00,248,134,21,64,2482113464,248.1640625,-134.5
WOD_Ruins,0,WOD_Ruins_05,248,134,64,107,24864134107,248.5,-134.1640625
WOD_FarmA,0,WOD_Farmaa02,248,134,107,21,24810713421,248.8359375,-134.8359375
WOD_FarmA,0,WOD_Farmaa04,248,134,107,64,24810713464,248.8359375,-134.5
WOD_BanditCamp,0,WOD_BanditCamp_07,253,134,107,64,25310713464,253.8359375,-134.5
WOD_BanditCamp,0,WOD_BanditCamp_09,254,134,21,21,2542113421,254.1640625,-134.8359375
WOD_Ruins,0,WOD_Ruins_03,263,134,107,107,263107134107,263.8359375,-134.1640625
