name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_BanditCamp,0,WOD_BanditCamp_02,875,182,21,64,8752118264,875.1640625,-182.5
WOD_BanditFort,0,WOD_BanditFort_01,878,182,64,107,87864182107,878.5,-182.1640625
WOD_Ruins,0,WOD_Ruins_04,880,182,60,21,8806418221,880.5,-182.8359375
WOD_Ruins,0,WOD_Ruins_01,885,182,64,107,88564182107,885.5,-182.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,888,182,64,21,8886418221,888.5,-182.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,890,182,21,107,89021182107,890.1640625,-182.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_02,890,182,64,21,8906418221,890.5,-182.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,891,182,107,107,891107182107,891.8359375,-182.1640625
WOD_Ruins,0,WOD_Ruins_06,875,183,64,21,8756418321,875.5,-183.8359375
WOD_FarmA,0,WOD_Farmaa04,879,183,21,107,87921183107,879.1640625,-183.1640625
WOD_BanditCamp,0,WOD_BanditCamp_08,882,183,64,55,8826418364,882.5,-183.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_03,883,183,107,21,88310718321,883.8359375,-183.8359375
WOD_FarmA,0,WOD_Farmaa03,884,183,64,49,8846418364,884.5,-183.5
WOD_BanditFort,0,WOD_BanditFort_01,884,183,107,28,88410718321,884.8359375,-183.8359375
WOD_BanditCamp,0,WOD_BanditCamp_06,884,183,21,107,88421183107,884.1640625,-183.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_05,887,183,107,110,887107183107,887.8359375,-183.1640625
WOD_Ruins,0,WOD_Ruins_05,891,183,107,64,89110718364,891.8359375,-183.5
WOD_BanditCamp,0,WOD_BanditCamp_04,858,184,64,58,8586418464,858.5,-184.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_04,859,184,21,62,8592118464,859.1640625,-184.5
WOD_FarmA,0,WOD_Farmaa02,859,184,21,107,85921184107,859.1640625,-184.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,860,184,107,70,86010718464,860.8359375,-184.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_06,861,184,62,107,86164184107,861.5,-184.1640625
WOD_Ruins,0,WOD_Ruins_01,874,184,107,21,87410718421,874.8359375,-184.8359375
WOD_FarmA,0,WOD_Farmaa00,875,184,21,64,8752118464,875.1640625,-184.5
WOD_BanditCamp,0,WOD_BanditCamp_02,881,184,21,59,8812118464,881.1640625,-184.5
WOD_FarmA,0,WOD_Farmaa04,881,184,107,64,88110718464,881.8359375,-184.5
WOD_BanditCamp,0,WOD_BanditCamp_02,884,184,107,107,884107184107,884.8359375,-184.1640625
WOD_Ruins,0,WOD_Ruins_03,885,184,21,21,8852118421,885.1640625,-184.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_06,885,184,64,21,8856418421,885.5,-184.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_01,885,184,107,62,88510718464,885.8359375,-184.5
WOD_Ruins,0,WOD_Ruins_04,886,184,21,68,8862118464,886.1640625,-184.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_05,894,184,107,21,89410718421,894.8359375,-184.8359375
WOD_BanditFort,0,WOD_BanditFort_01,894,184,107,107,894107184107,894.8359375,-184.1640625
WOD_Ruins,0,WOD_Ruins_03,911,184,107,64,91110718464,911.8359375,-184.5
WOD_BanditCamp,0,WOD_BanditCamp_09,855,185,21,58,8552118564,855.1640625,-185.5
